region,gu,legal_code,latitude,longitude
신원동,서초구,1165011100,37.4440189779745,127.062170998757
양재동,서초구,1165010200,37.4720040276212,127.037463917199
염곡동,서초구,1165011000,37.462299187089,127.053907608672
우면동,서초구,1165010300,37.4646530229734,127.01605116304
원지동,서초구,1165010400,37.443311718479,127.048637026567
잠원동,서초구,1165010600,37.514918688022,127.014102820234
금호동1가,성동구,1120010900,37.5548857249068,127.02279294328
금호동2가,성동구,1120011000,37.5529940659194,127.020406751011
금호동3가,성동구,1120011100,37.5499307132639,127.020166005976
금호동4가,성동구,1120011200,37.5447325755772,127.026161935006
도선동,성동구,1120010400,37.5637958263853,127.033530216268
마장동,성동구,1120010500,37.566379547987,127.045325760782
사근동,성동구,1120010600,37.5614997515694,127.045327331714
상왕십리동,성동구,1120010100,37.5684327095862,127.024784739728
성수동1가,성동구,1120011400,37.5417253860375,127.043351028535
성수동2가,성동구,1120011500,37.5409627375214,127.057019282187
송정동,성동구,1120011800,37.5545322586259,127.069569072089
옥수동,성동구,1120011300,37.5435886378543,127.013438338877
용답동,성동구,1120012200,37.5640758244216,127.055579052769
응봉동,성동구,1120010800,37.553160488276,127.033416807797
하왕십리동,성동구,1120010200,37.5619122139369,127.028703243306
행당동,성동구,1120010700,37.558305907888,127.037031736958
홍익동,성동구,1120010300,37.5663550219259,127.032213833438
길음동,성북구,1129013400,37.6076658267473,127.023343590916
돈암동,성북구,1129010300,37.5962791991147,127.00991034218
동선동1가,성북구,1129011600,37.5923102427411,127.018211777612
동선동2가,성북구,1129011700,37.5901655850023,127.020040985677
동선동3가,성북구,1129011800,37.5944938544002,127.020599250097
동선동4가,성북구,1129011900,37.5952221822841,127.018633716126
동선동5가,성북구,1129012000,37.5959288284835,127.016844785039
동소문동1가,성북구,1129010400,37.5900265113416,127.007210212424
동소문동2가,성북구,1129010500,37.5887073911222,127.008238156364
동소문동3가,성북구,1129010600,37.5898604829037,127.010489205319
동소문동4가,성북구,1129010700,37.591759761125,127.01063893326
동소문동5가,성북구,1129010800,37.5916367047085,127.01537185184
동소문동6가,성북구,1129010900,37.5933415527603,127.01399531696
동소문동7가,성북구,1129011000,37.5963292176216,127.014190641129
보문동1가,성북구,1129013000,37.5864896015958,127.019645993321
보문동2가,성북구,1129013100,37.5857474136521,127.018210178625
보문동3가,성북구,1129013200,37.58388803571,127.016352976758
보문동4가,성북구,1129012600,37.5828961453853,127.021347801017
보문동5가,성북구,1129012700,37.5823846059336,127.020066071097
보문동6가,성북구,1129012800,37.5803846015945,127.018842854522
보문동7가,성북구,1129012900,37.5798181272129,127.022551479065
삼선동1가,성북구,1129011100,37.5846817438784,127.008396217359
삼선동2가,성북구,1129011200,37.5833696420008,127.011439305713
삼선동3가,성북구,1129011300,37.586508530236,127.013092803419
삼선동4가,성북구,1129011400,37.5903502910639,127.013723013975
삼선동5가,성북구,1129011500,37.5885336236904,127.015851281018
상월곡동,성북구,1129013700,37.6069133345458,127.045527017386
석관동,성북구,1129013900,37.6129860183721,127.0614007785
성북동,성북구,1129010100,37.5910466093958,127.003274531869
성북동1가,성북구,1129010200,37.5895149125503,127.003614139532
안암동1가,성북구,1129012100,37.5883885968465,127.021358427439
안암동2가,성북구,1129012200,37.586528798482,127.02216855408
안암동3가,성북구,1129012300,37.583533676855,127.023313410414
안암동4가,성북구,1129012400,37.58070068194,127.024648423554
안암동5가,성북구,1129012500,37.5883977734308,127.029021378105
장위동,성북구,1129013800,37.6170568426302,127.04956549458
정릉동,성북구,1129013300,37.618580825547,126.995482832879
종암동,성북구,1129013500,37.5990169781205,127.035217428043
하월곡동,성북구,1129013600,37.6075035036308,127.037812638789
가락동,송파구,1171010700,37.4965421665627,127.105729381413
거여동,송파구,1171011300,37.4969242257404,127.143310298223
마천동,송파구,1171011400,37.4960258496317,127.149903613068
문정동,송파구,1171010800,37.4847415034152,127.118267660547
방이동,송파구,1171011100,37.5110126423949,127.123923689605
삼전동,송파구,1171010600,37.5027233386057,127.092519707191
석촌동,송파구,1171010500,37.5035646306702,127.103667384036
송파동,송파구,1171010400,37.50609292063,127.109579159297
신천동,송파구,1171010200,37.5182926381796,127.101366591012
오금동,송파구,1171011200,37.5029748269764,127.128103930329
잠실동,송파구,1171010100,37.5119564733931,127.088282780728
장지동,송파구,1171010900,37.4785083981102,127.136582139995
풍납동,송파구,1171010300,37.5380588825241,127.122225970875
목동,양천구,1147010200,37.5304364108359,126.870989288343
신월동,양천구,1147010300,37.532815818936,126.831535864977
신정동,양천구,1147010100,37.5185526780279,126.854354325392
당산동,영등포구,1156011700,37.5402584246452,126.902165652703
당산동1가,영등포구,1156011100,37.5216623144431,126.898547402403
당산동2가,영등포구,1156011200,37.5224653819518,126.893736304951
당산동3가,영등포구,1156011300,37.525848582812,126.89671357564
당산동4가,영등포구,1156011400,37.5290653986879,126.899075891843
당산동5가,영등포구,1156011500,37.5320981652413,126.901203325782
당산동6가,영등포구,1156011600,37.5337949488345,126.904735599528
대림동,영등포구,1156013300,37.4925087229046,126.902006335554
도림동,영등포구,1156011800,37.5094388403258,126.895944463887
문래동1가,영등포구,1156011900,37.5122797138517,126.896981114579
문래동2가,영등포구,1156012000,37.5127447489723,126.893057862261
문래동3가,영등포구,1156012100,37.5165971793933,126.896816819326
문래동4가,영등포구,1156012200,37.5144572928255,126.889829482109
문래동5가,영등포구,1156012300,37.5162865616222,126.8844154127
문래동6가,영등포구,1156012400,37.5194820467019,126.886822180022
신길동,영등포구,1156013200,37.5041663202167,126.91406973946
양평동,영등포구,1156013400,37.5282170949851,126.885713864668
양평동1가,영등포구,1156012500,37.5234622076971,126.888223442468
양평동2가,영등포구,1156012600,37.523485321528,126.882336382875
양평동3가,영등포구,1156012700,37.5293681802834,126.891015825174
양평동4가,영등포구,1156012800,37.5369309404219,126.896766179375
양평동5가,영등포구,1156012900,37.5393563567171,126.892639686611
양평동6가,영등포구,1156013000,37.5423276935981,126.890503614635
양화동,영등포구,1156013100,37.5496245970542,126.88545485776
여의도동,영등포구,1156011000,37.526784915083,126.930167091136
영등포동,영등포구,1156010100,37.5134118222973,126.906168599588
영등포동1가,영등포구,1156010200,37.5178393128912,126.913185328453
영등포동2가,영등포구,1156010300,37.5207969614042,126.91150771146
영등포동3가,영등포구,1156010400,37.5182713776916,126.90787737105
영등포동4가,영등포구,1156010500,37.5178895038414,126.903552262737
영등포동5가,영등포구,1156010600,37.5210743651057,126.906688412883
영등포동6가,영등포구,1156010700,37.5215905083395,126.90316740849
영등포동7가,영등포구,1156010800,37.5240155727982,126.907114627945
영등포동8가,영등포구,1156010900,37.5283028633869,126.905253942411
갈월동,용산구,1117010400,37.5467756584412,126.972162579372
남영동,용산구,1117010500,37.5430061454345,126.973322683547
도원동,용산구,1117012000,37.5381208172628,126.955125834612
동빙고동,용산구,1117013200,37.5244123976895,126.995112936884
동자동,용산구,1117010700,37.5520519606976,126.972396006945
문배동,용산구,1117012200,37.5371018437132,126.969405422634
보광동,용산구,1117013600,37.5262721673188,127.000171956489
산천동,용산구,1117011500,37.5354165057958,126.951801048783
서계동,용산구,1117010800,37.552965989869,126.966999743181
서빙고동,용산구,1117013300,37.5204623812775,126.994638088433
신계동,용산구,1117012300,37.5358253064499,126.966740278708
신창동,용산구,1117011400,37.5357673358179,126.954946215115
용문동,용산구,1117012100,37.5377008640148,126.959891817892
용산동1가,용산구,1117010600,37.5399939693422,126.976967186602
용산동2가,용산구,1117010200,37.5419195197563,126.982945593811
용산동3가,용산구,1117012600,37.5318669434272,126.976965160519
용산동4가,용산구,1117010300,37.5306248837304,126.985224458926
용산동5가,용산구,1117012700,37.526143245049,126.974364951898
용산동6가,용산구,1117013500,37.5235531064679,126.980329796658
원효로1가,용산구,1117011200,37.5396132026478,126.967064466585
원효로2가,용산구,1117011300,37.5362892108964,126.963323111963
원효로3가,용산구,1117011700,37.5343051059798,126.95763533429
원효로4가,용산구,1117011800,37.532251690375,126.950590243026
이촌동,용산구,1117012900,37.5141954312249,126.972097769518
이태원동,용산구,1117013000,37.5402662116134,126.991527297365
주성동,용산구,1117013400,37.5215725360091,126.999221719448
청암동,용산구,1117011600,37.5344808673194,126.946678596744
청파동1가,용산구,1117010900,37.548767465152,126.967458773793
청파동2가,용산구,1117011000,37.5465142049802,126.964798233694
청파동3가,용산구,1117011100,37.543246007914,126.966972344614
한강로1가,용산구,1117012400,37.5339780623762,126.973054361529
한강로2가,용산구,1117012500,37.5315623013376,126.968683607087
한강로3가,용산구,1117012800,37.5276608637792,126.962182447512
한남동,용산구,1117013100,37.5346298557798,127.000552132438
효창동,용산구,1117011900,37.5424588083349,126.9618988792
후암동,용산구,1117010100,37.5486798277286,126.978150463736
갈현동,은평구,1138010400,37.6198652831792,126.914367182376
구산동,은평구,1138010500,37.6117570303251,126.910376186527
녹번동,은평구,1138010200,37.602216160965,126.929919982801
대조동,은평구,1138010600,37.6141899645264,126.920825111083
불광동,은평구,1138010300,37.617652326817,126.937059476367
수색동,은평구,1138010100,37.5835205431622,126.893690338772
신사동,은평구,1138010900,37.5949214743514,126.908475948726
역촌동,은평구,1138010800,37.6043976551679,126.915123289569
응암동,은평구,1138010700,37.5963272964126,126.924109745075
증산동,은평구,1138011000,37.5843354894975,126.907030675078
진관동,은평구,1138011400,37.6349668825061,126.92106591289
가회동,종로구,1111014600,37.5800968068427,126.984784487479
견지동,종로구,1111012900,37.5731913510517,126.9830607214
경운동,종로구,1111013400,37.5751883855303,126.98638391579
계동,종로구,1111014800,37.5824324365826,126.986903381874
공평동,종로구,1111012700,37.5712668379623,126.983147187221
관수동,종로구,1111015500,37.5690620186845,126.99046001346
관철동,종로구,1111013500,37.5691048202295,126.985986580352
관훈동,종로구,1111012800,37.5741286083151,126.984690612471
교남동,종로구,1111017600,37.5683831622412,126.964634002163
교북동,종로구,1111018000,37.5717842659119,126.96127267528
구기동,종로구,1111018200,37.6193739703883,126.959299756836
궁정동,종로구,1111010300,37.5846825915783,126.973144784748
권농동,종로구,1111013100,37.5743239285345,126.991763428362
낙원동,종로구,1111013700,37.5725577161914,126.988607627918
내수동,종로구,1111011800,37.5733081682462,126.971962529742
내자동,종로구,1111011400,37.5753047140657,126.971717261861
누상동,종로구,1111010900,37.580026884522,126.962264659143
누하동,종로구,1111011000,37.5792826296463,126.968274190814
당주동,종로구,1111011700,37.5715715163219,126.974000740278
도렴동,종로구,1111011600,37.5731610122673,126.974647692606
돈의동,종로구,1111015300,37.5719704528879,126.990726790606
동숭동,종로구,1111016800,37.5813770980376,127.004872670199
명륜1가,종로구,1111017000,37.5891076921368,126.997468304522
명륜2가,종로구,1111017100,37.5846964544009,126.999030857136
명륜3가,종로구,1111017300,37.589565220326,126.993075159072
명륜4가,종로구,1111017200,37.5822313405278,127.00007245689
묘동,종로구,1111015100,37.5724066101338,126.991745527678
무악동,종로구,1111018700,37.5759854736853,126.958245677349
봉익동,종로구,1111015200,37.5721652242239,126.992995267432
부암동,종로구,1111018400,37.5924142953536,126.964061015983
사간동,종로구,1111014400,37.5772526194939,126.980379075036
사직동,종로구,1111011500,37.5754222287938,126.96631967084
