university,region,gu,region_latitude,region_longitude,university_latitude,university_longitude,distance_km
건국대학교,성수동1가,성동구,37.5417253860375,127.043351028535,37.539182674872,127.074711902268,2.78
건국대학교,중곡동,광진구,37.5617477458583,127.090401426965,37.539182674872,127.074711902268,2.87
건국대학교,삼성동,강남구,37.5143225723289,127.062831022499,37.539182674872,127.074711902268,2.96
건국대학교,용답동,성동구,37.5640758244216,127.055579052769,37.539182674872,127.074711902268,3.24
건국대학교,잠실동,송파구,37.5119564733931,127.088282780728,37.539182674872,127.074711902268,3.26
건국대학교,신천동,송파구,37.5182926381796,127.101366591012,37.539182674872,127.074711902268,3.3
동국대학교,필동3가,중구,37.5584990846545,126.997003047238,37.5589366401553,126.998737605491,0.16
동국대학교,묵정동,중구,37.5614543921106,127.000371238419,37.5589366401553,126.998737605491,0.31
동국대학교,필동2가,중구,37.5593207097697,126.994626250771,37.5589366401553,126.998737605491,0.36
동국대학교,장충동2가,중구,37.5550176670286,127.000602078813,37.5589366401553,126.998737605491,0.47
동국대학교,충무로5가,중구,37.5631302462414,126.99982795883,37.5589366401553,126.998737605491,0.48
동국대학교,충무로4가,중구,37.5622651534103,126.994327234401,37.5589366401553,126.998737605491,0.54
동국대학교,예관동,중구,37.5642150321271,126.998189014062,37.5589366401553,126.998737605491,0.59
동국대학교,필동1가,중구,37.5610757328508,126.992453032787,37.5589366401553,126.998737605491,0.6
동국대학교,인현동2가,중구,37.5642041704527,126.996124490655,37.5589366401553,126.998737605491,0.63
동국대학교,오장동,중구,37.56491061309,127.000692708562,37.5589366401553,126.998737605491,0.69
동국대학교,인현동1가,중구,37.5637139255336,126.993729503193,37.5589366401553,126.998737605491,0.69
동국대학교,쌍림동,중구,37.5635266097207,127.004210503561,37.5589366401553,126.998737605491,0.7
동국대학교,남학동,중구,37.5605530385659,126.990814223458,37.5589366401553,126.998737605491,0.72
동국대학교,충무로3가,중구,37.5626722201462,126.991307446764,37.5589366401553,126.998737605491,0.78
동국대학교,장충동1가,중구,37.5606540803158,127.007325089464,37.5589366401553,126.998737605491,0.78
홍익대학교,창전동,마포구,37.549273643204,126.92977041133,37.5525245968145,126.9250355422,0.55
홍익대학교,동교동,마포구,37.5572085308328,126.922261659865,37.5525245968145,126.9250355422,0.58
홍익대학교,상수동,마포구,37.5456269289382,126.924776753718,37.5525245968145,126.9250355422,0.77
홍익대학교,서교동,마포구,37.5550949138083,126.914613374473,37.5525245968145,126.9250355422,0.96
홍익대학교,구수동,마포구,37.5457361347133,126.932539327611,37.5525245968145,126.9250355422,1.0
홍익대학교,하중동,마포구,37.5435745257489,126.927779696718,37.5525245968145,126.9250355422,1.02
홍익대학교,창천동,서대문구,37.5586862112855,126.934193637741,37.5525245968145,126.9250355422,1.06
홍익대학교,당인동,마포구,37.5437530625517,126.919627791269,37.5525245968145,126.9250355422,1.09
홍익대학교,신수동,마포구,37.5470206619261,126.935226865858,37.5525245968145,126.9250355422,1.09
홍익대학교,신정동,마포구,37.543161599964,126.930332866478,37.5525245968145,126.9250355422,1.14
홍익대학교,노고산동,마포구,37.5543526246387,126.937909479778,37.5525245968145,126.9250355422,1.15
홍익대학교,합정동,마포구,37.5516618139957,126.911756414276,37.5525245968145,126.9250355422,1.17
홍익대학교,연남동,마포구,37.5644776141885,126.922023205508,37.5525245968145,126.9250355422,1.36
홍익대학교,현석동,마포구,37.5421619566645,126.934289634391,37.5525245968145,126.9250355422,1.41
홍익대학교,대흥동,마포구,37.5498936438386,126.943403941965,37.5525245968145,126.9250355422,1.65
국민대학교,정릉동,성북구,37.618580825547,126.995482832879,37.6102919873059,126.998494142731,0.96
